video_id,date,title,transcript,clean_text,views,likes,comments,shares,saves,duration,word_count,year,month,quarter,engagement,engagement_rate_%,like_rate_%,views_per_sec,pos_words,neg_words,polarity,sentiment,emotion
7098684490662432005,2022-05-17,Ευχαριστούμε τον κ. Τσίπρα για την υπενθύμιση. #fyp #tiktokgreece,"Είδα τον κύριο Τσίπρα να απευθύνεται σε κάποια κυρία, σε μια πελωδία την οποία έκανε στη Θεσσαλονίκη και της είπε «σύριζα θα λέτε και θα κλαίτε». Πράγματι, πράγματι. Έκλεγαν οι συνταξιούς οι το 2015 έξω από τα ATM και ευχαριστούμε τον κύριο Τσίπρα, που σε κάθε ευκαιρία μας θυμίζει τη χειρότερη κυβέρνηση που είχε η χώρα από τη μεταπολίτευση και μετά.",ειδα κυρι τσιπρ απευθυνετα κυρι πελωδι εκαν θεσσαλονικ συριζ λετε κλαιτ πραγματ πραγματ εκλεγ συνταξι atm ευχαριστ κυρι τσιπρ ευκαιρι θυμιζε χειροτερ κυβερνησ χωρα μεταπολιτευσ,79400,2460,150,90,134,34,61,2022,5,2022Q2,2834,3.569,3.098,2335.3,1,0,1.0,positive,ουδέτερο
7098752669308685574,2022-05-17,Το ψηφιακό κράτος μεταμορφώνει την καθημερινότητα του πολίτη στην πρά...,"Το επιτελικό κράτος σημαίνει ψηφιακό κράτος. Σημειώνω ότι μέσα σε μόλις ένα έτος έγιναν 567 εκατομμύρια ηλεκτρονικές συναλλαγές. Βλητώσαμε 40 εκατομμύρια ώρες ταλαιπωρίας των πολιτών. Έχω στη διάθεσή τους 1.378 για την ακρίβεια ψηφιακές υπηρεσίες. Με μία απλή εξειοδότηση που τόσο μας ταλαιπωρούσε, μέχρι την τόσο σημαντική άλληλη σταγράφηση.",επιτελικ κρατ σημαινε ψηφιακ κρατ σημειων ετος εγιν εκατομμυρι ηλεκτρονικ συναλλαγ βλητωσαμ εκατομμυρι ωρες ταλαιπωρ πολιτ διαθεσ ακριβει ψηφιακ υπηρεσ απλη εξειοδοτησ ταλαιπωρουσ σημαντικ αλληλ σταγραφησ,57200,1448,40,15,40,37,49,2022,5,2022Q2,1543,2.698,2.531,1545.9,0,1,-1.0,negative,ουδέτερο
7098828995520646405,2022-05-17,"Γιορτάζουμε την Παγκόσμια Ημέρα κατά της Ομοφοβίας και Τρανσφοβίας, π...","Πριν από 17 χρόνια, η 17η Μαΐου ορίστηκε ως πανγκόσμια ημέρα κατά της ομοφοβίας και τρανσφοβίας που γιορτάζεται σε όλες τις σύγχρονες δημοκρατίες. Όχι ως μια μόδα της εποχής, αλλά ως στιγμή γενναίας παραδοχής. Παραδοχής ότι για δεκαετίες εκατομμύρια άνθρωποι στον κόσμο υπήρξαν ή και εξακολουθούν να είναι θύματα προκαταλήψεων, διακρίσεων, βίας, διωγμών, ακόμα και δολοφονικών υπεθέσεων. Ενώ άλλοι οδηγήθηκαν στη δυστυχία, την απομόνωση, ακόμα και στην αυτοκτονία. Ως πατέρας, απευθύνομαι σήμερα στους γονείς των ΛΟΑΤΚΙΠΛΑΣ ΠΕΔΙΩΝ για να τους ζητήσω το προφανές να μην σταματήσουν ποτέ να τα αγαπούν και να τα στηρίζουν. Αλλά και ως πρωθυπουργός δεσμεύομαι ότι δεν θα αφήσω κανέναν μόνο του σε αυτόν τον αγώνα ελευθερίας και ισότητας. Θα είμαι δίπλα στον έφηβο που δέχεται bullying στο σχολείο επειδή είναι gay. Θα είμαι δίπλα στον διεμφιλικό άτομο που δεν βρίσκει δουλειά λόγω της ταυτότητας φίλου του. Θα είμαι δίπλα και στη γυναίκα που στιγματίζεται ως λεσβία. Για δικές και το μίσος που δυστυχώς ακόμα και στις ημέρες μας υφίστανται αυτοί οι συμπολίτες μας πρέπει επιτέλους να εξαλυφθούν. Γι' αυτό και η πολιτεία προχωρεί γρήγορα στην εφαρμογή της εθνικής στρατηγικής ισότητας. Η κατάργηση της απαγώρευσης της αιμοδοσίας από ομοφυλόφυλους, η συμμετοχή των διεμφιλικών στα προγράμματα εργασίας του ΑΕΔ και η απαγώρευση των λεγόμενων θεραπιών μεταστροφής είναι μόνο μερικές από τις πολιτικές που ήδη υλοποιούνται. Ξέρω ότι πολλά μένουν ακόμα να γίνουν. Η σύγχρονη Ελλάδα όμως έχει τη θέληση, την οριμότητα, την καρδιά και την ψυχή να καλύψει το χαμένο έδαφος. Κι αν κάτι πρέπει να κρατήσουμε από αυτήν την ημέρα είναι εικόνα μιας δίκαιας κοινωνίας όπου καθένας και καθεμιά μπορούν ελεύθερα να είναι ο εαυτός τους. Ευτυχισμένοι. Γι' αυτό και αλληλέγγει μεταξύ τους. Γιατί η ελεύθερη χώρα είναι η χώρα που έχει ελεύθερους πολίτες.",οριστηκ πανγκοσμι ομοφοβ τρανσφοβ γιορταζετα συγχρον δημοκρατ μοδα εποχ στιγμ γεννα παραδοχ παραδοχ δεκαετ εκατομμυρι ανθρωπ κοσμ υπηρξ εξακολουθ θυματ προκαταληψ διακρισ βιας διωγμ δολοφονικ υπεθεσ οδηγηθηκ δυστυχι απομονωσ αυτοκτονι πατερ απευθυνομα σημερ γον λοατκιπλ πεδ ζητησ προφαν σταματησ αγαπ στηριζ πρωθυπουργ δεσμευομα αφησ κανεν αγων ελευθερ ισοτητ εφηβ δεχετα bullying σχολει gay διεμφιλικ ατομ βρισκε δουλει λογω ταυτ φιλ γυναικ στιγματιζετα λεσβι μισ δυστυχω ημερ υφισταντα συμπολιτ επιτελ εξαλυφθ πολιτει προχωρε γρηγορ εφαρμογ εθνικ στρατηγικ ισοτητ καταργησ απαγωρευσ αιμοδοσ ομοφυλοφυλ συμμετοχ διεμφιλικ προγραμ εργασ αεδ απαγωρευσ λεγομεν θεραπ μεταστροφ μερικ πολιτικ υλοποιουντα μεν γιν συγχρον ελλαδ θελησ οριμ καρδι ψυχη καλυψε χαμεν εδαφ κρατησ εικον δικα κοινων καθεν καθεμι μπορ ελευθερ εαυτ ευτυχισμεν αλληλεγγε μεταξ ελευθερ χωρα χωρα ελευθερ πολιτ,83700,2601,165,146,175,139,288,2022,5,2022Q2,3087,3.688,3.108,602.2,1,3,-0.5,negative,λύπη
7099419365002562821,2022-05-19,Κανείς δεν θα αποδεχθεί «λύση» δύο κρατών στην Κύπρο. #fyp #tiktokgreece,"Και μιλώντας για ανοιχτήσεις ανοιχτήσεις, θέλω να σας προσπαθώ, ειδικοί μέντες της Κοινωνίας, να μην ξεχνάτε μια ανοιχτή πόρτα που έχει δημιουργήσει τον ελληνικό ευκαιρισμό και την αδερφή του 48 χρόνου. Είμαι σχεδιασμένος στην εξερμογή και την συνεργασμένη διαδικασία της Cyprus. Αυτή η θέση πρέπει να εξερμογηθεί σε συνδυασμό με την ελληνική δικασία και σε συνδυασμό με τις σημαντικές διαδικασίες της ΗΠΑ. Όπως είπα ο πρόεδρος Biden σήμερα, κανένας δεν μπορεί, κανένας δεν θα καταλαβαίνει μια δύο σημεία σχεδία στην Cyprus.",μιλ ανοιχτησ ανοιχτησ προσπαθ ειδικ μεντ κοινων ξεχνατ ανοιχτ πορτ δημιουργησε ελληνικ ευκαιρισμ αδερφ χρον σχεδιασμεν εξερμογ συνεργασμεν διαδικασι cyprus θεση εξερμογηθε συνδυασμ ελληνικ δικασι συνδυασμ σημαντικ διαδικασ ηπα ειπα προεδρ biden σημερ κανεν κανεν καταλαβαινε σημει σχεδι cyprus,223200,7231,378,365,355,70,81,2022,5,2022Q2,8329,3.732,3.24,3188.6,0,0,0.0,neutral,ουδέτερο
7099537892019637509,2022-05-19,Επανασχεδιάζουμε τη Δημοκρατία μας για να ανταποκριθούμε στις προκλήσ...,"Κάθε φορά, κάθε φορά που κατασκευάζουμε στο Παρθυνό Φρύζο, κομμάτι του οποίου, ευκαιρισμένως, ακριβώς βρίσκεται στο Μουσείο της Βρισκότης, όχι στο Μουσείο της Ακρόπολης, στο οποίο αντιμετωπίζεται. Είμαστε ενδιαφέροντες από την ευκαιρία της δημοκρατικής δημοκρατίας. 30 χρόνια μετά από το Παρθυνό, η δημοκρατία στην Αθήνα δεν ήταν πραγματική. Η ευκαιρία της δημοκρατικής δημοκρατίας να φύγει στις δυσκολίες του 21ου αιώνα μπορεί να μιλήσει σαν ένα μεγάλο σύγχρονο. Αλλά αυτή είναι η οικογένεια της δημοκρατικής δημοκρατίας μας. Και είμαι σίγουρος ότι θα το επιτρέψουμε.",κατασκευαζ παρθυν φρυζ κομματ οπο ευκαιρισμενω ακριβω βρισκετα μουσει βρισκοτ μουσει ακροπολ αντιμετωπιζετα ενδιαφεροντ ευκαιρι δημοκρατικ δημοκρατ παρθυν δημοκρατι αθην πραγματικ ευκαιρι δημοκρατικ δημοκρατ φυγε δυσκολ αιων μιλησε σαν μεγαλ συγχρον οικογενει δημοκρατικ δημοκρατ σιγουρ επιτρεψ,76200,1961,45,46,68,52,83,2022,5,2022Q2,2120,2.782,2.573,1465.4,3,1,0.5,positive,ουδέτερο
7099753136033664261,2022-05-20,Δεν θα δεχτούμε επιθετικές ενέργειες που παραβιάζουν την κυριαρχία μα...,Η Ελλάδα είναι μια δημοκρατική δημοκρατία που συνεχίζει κάθε φιλή φιλή στις φίλες μας. Είμαστε πάντα ανοιχτοί στον διάλογο. Αλλά υπάρχει μόνο ένα σύστημα που μπορούμε να χρησιμοποιήσουμε για να καταστρέψουμε τις διαφορές μας. Η δημοκρατική δικασία και τα ανοιχτή πρόκλημα των καλύτερας σχέσης σχέσης. Και θέλω να είμαι αλήθεια. Δεν θα δημιουργήσουμε ανοιχτή δημοκρατία που δημιουργούν τη δημοκρατία και τα ανοιχτή πρόκλημα. Αυτοί συμβαίνονται με ανοιχτή πρόκλημα που πρέπει να σταματήσουν αμέσως.,ελλαδ δημοκρατικ δημοκρατι συνεχιζε φιλη φιλη φιλ ανοιχτ διαλογ συστημ μπορ χρησιμοποιησ καταστρεψ διαφορ δημοκρατικ δικασι ανοιχτ προκλημ καλυτερ σχεσ σχεσ αληθει δημιουργησ ανοιχτ δημοκρατι δημιουργ δημοκρατι ανοιχτ προκλημ συμβαιν ανοιχτ προκλημ σταματησ αμεσω,87700,2636,83,51,97,54,73,2022,5,2022Q2,2867,3.269,3.006,1624.1,3,0,1.0,positive,ουδέτερο
7101950145809353990,2022-05-26,H πιο ουσιαστική πολιτική την οποία μπορούμε να κάνουμε για τη νέα γε...,"Την τελευταία δεκαετία, παρατηρούνται αλλαγές στην οικονομία, ανοιχεία, χαμηλή μισθήκη, εξωτενατικά ωράρια και γενικότερα αποτελεμοντική ανασφαλή κυριαρχούν στην σύγχρονη πραγματικότητα. Αυτό ειχε ένα αποτελείσμα οι νέοι να υπάρχει μια κρίση στις αισθέες, τις αξίες, όσον αφορά τους νέους. Θα ήθελα να ρωτήσω λοιπόν, ως πολιτεία, οι οποίες συμμελίζονται την ανησυχία αυτών των νέων, αν έχετε κάποιο πλάνο δράσης μέσα στο οποίο οι νέοι θα μπορούν να ανακτήσουν την αυτοεκτείνησή τους, θα έχουν ενεργό δράση της εξελίξης και θα μπορούν ξανά να ομοιρεύονται. Σε ευχαριστώ για την ερώτηση. Πιστεύω ότι οι νέοι της πατρίδας μας έχουν τα τελευταία δώδεκα, δεκατέσσερα χρόνια ουσιαστικά ζήσει μόνο κρίσης. Και αυτό είναι σίγουρα κάτι το οποίο είναι επώδυνο, τραυματικό και δικαιολογεί έντονα αισθήματα ανασφάλειας, θυμού, αγανάκτησης. Και μπορεί να αισθάνεστε, αναφέρομαι σε όλους σας, τη γενιά σας, ότι ουσιαστικά οι προηγούμενες γενιές με τις πολιτικές τους σας έκλεψαν τα όνειρά σας. Έχετε δίκιο σε μεγάλο βαθμό να αποδίδετε ευθύνες σε αυτές τις γενιές που όντως δεν με ρίμνησαν, ώστε η Ελλάδα να μην χάσει με δεκαετία. Όμως το ζητούμενο εδώ δεν είναι να γυρίσουμε τον ρόλο του χρόνου πίσω, κάτι το οποίο δεν είμαστε θες να κάνουμε, αλλά πώς θα διορθώσουμε τις αστοχίες του παρελθόντος και πώς θα χερδίσουμε το χαμένο έραφος. Και αυτή είναι και η δικιά μου πρώτη πρωτεραιότητα, όταν σκέφτομαι συνολικά τις πολιτικές μας για τους νέους, οι οποίες πρέπει να ξεκινούν από δύο αφετηρίες, σπουδές, κατάρτιση, μαλόναι κατανάγκης σπουδές, εκπαίδευση, κατάρτιση και δουλειά. Για μένα, η πιο ουσιαστική πολιτική την οποία μπορούμε να κάνουμε για τη νέα γενιά είναι να δημιουργούμε περισσότερες καλοπληρωμένες θέσεις εργασίας. Στέκομαι στο καλοπληρωμένες, γιατί δεν αρκεί απλά ένας νέος να δουλεύει ένα τέτρα όλο μερική απασχόληση, να μπορεί τυπικά να εμφανίζεται στα στατιστικά μας όσο απασχολούμενος, αλλά στην πράξη να ξέρουμε ότι αυτό δεν είναι μια δουλειά η οποία μπορεί να τον κάνει να αισθάνεται άνετα, να ονειρεύεται και να οικοδομεί το μέλλον του.",τελευται δεκαετι παρατηρουντα αλλαγ οικονομι ανοιχει χαμηλ μισθηκ εξωτενατικ ωραρι γενικοτερ αποτελεμοντικ ανασφαλ κυριαρχ συγχρον πραγματικ αποτελεισμ νεοι κρισ αισθε αξι οσον αφορ νεο ηθελ ρωτησ πολιτει συμμελιζ ανησυχι νεων πλαν δρασ νεοι μπορ ανακτησ αυτοεκτεινησ ενεργ δρασ εξελιξ μπορ ομοιρευ ευχαριστ ερωτησ πιστευ νεοι πατριδ τελευται δωδεκ δεκατεσσερ ουσιαστικ ζησε κρισ σιγουρ επωδυν τραυματικ δικαιολογε εντον αισθη ανασφαλε θυμ αγανακτησ αισθαν αναφερομα γενι ουσιαστικ προηγουμεν γεν πολιτικ εκλεψ ονειρ δικι μεγαλ βαθμ αποδιδ ευθυν γεν οντω ριμν ελλαδ χασε δεκαετι ζητουμεν γυρ ρολο χρον θες διορθωσ αστοχ παρελθοντ χερδ χαμεν εραφ δικι πρωτ πρωτερα σκεφτομα συνολικ πολιτικ νεο ξεκιν αφετηρ σπουδ καταρτισ μαλονα καταναγκ σπουδ εκπαιδευσ καταρτισ δουλει μενα ουσιαστικ πολιτικ μπορ νεα γενι δημιουργ περισσοτερ καλοπληρωμεν θεσ εργασ στεκομα καλοπληρωμεν αρκε νεος δουλευε τετρ μερικ απασχολησ τυπικ εμφανιζετα στατιστικ απασχολουμεν πραξ ξερ δουλει αισθανετα ανετ ονειρευετα οικοδομε μελλ,79500,1801,76,30,69,144,318,2022,5,2022Q2,1976,2.486,2.265,552.1,4,4,0.0,neutral,χαρά
7105037831579389189,2022-06-03,"Καινοτομία και τεχνολογία, μοχλός για μία καλύτερη καθημερινότητα. #f...","Αυτά τα οποία γίνονται εδώ στην Αστυπάλαια, δεν γίνονται σε πολλά μέρη του κόσμου. Είμαστε στην πρωτοπορία σήμερα της κενοτομίας και της τεχνολογίας. Για το πώς μπορούμε να υιορθετήσουμε έξυπνα συστήματα μετακινήσεων, για το πώς μπορούμε και πρέπει να προσαρμόσουμε το κανονιστικό μας πλαίσιο και πώς τελικά αυτή η κενοτόμος τεχνολογία, η οποία ξεκινάει αλλά δεν τελειώνει με την ηλεκτροκίνηση, θα μπορέσει να γίνει ένας μοχλός για μια καλύτερη καθημερινότητα.",γιν αστυπαλαι γιν μερη κοσμ πρωτοπορι σημερ κενοτομ τεχνολογ μπορ υιορθετησ εξυπν συστη μετακινησ μπορ προσαρμοσ κανονιστικ πλαισι τελικ κενοτομ τεχνολογι ξεκιναε τελειωνε ηλεκτροκινησ μπορεσε μοχλ καλυτερ καθημεριν,67200,1502,43,19,39,31,70,2022,6,2022Q2,1603,2.385,2.235,2167.7,0,0,0.0,neutral,ουδέτερο
7106174097222028549,2022-06-06,Όσο η τεχνολογία προχωράει τόσο η ενέργεια που θα παράγεται από τον ή...,"Οι ανέωσσες ποιες ενέργειας, θα το ξαναπω, είναι η πιο φτηνή μορφή ενέργειας την οποία μπορούμε να παράγουμε σήμερα. Και σε μια εποχή που όλοι είμαστε θύματα ενός πολέμου μιας εισβολής σε ευρωπαϊκό έδαφος, η οποία οδήγησε σε μια εκτείναξη των τιμών του φυσικού αερίου, αντιλαμβανόμαστε ότι η πράσνη μετάβαση δεν γίνεται μόνο για να μειώσουμε τις εκπομπές μας και να αποτρέψουμε το καταστροφικό φαινόμενο του θερμοκυπίου, γίνεται και για λόγους ελληνικής ασφάλειας. Ο αέρας που φυσάει σήμερα, ο ήλιος που έχουμε είναι δικός μας, κανείς δεν μπορεί να μας τον πάρει και όσο η τεχνολογία προχωράει, τόσο η ενέργεια που θα παράγεται από τον ήλιο και από το άνθρωπο θα γίνεται όλο ένα και φυνότερη.",ανεωσσ ενεργε ξαναπ φτην μορφ ενεργε μπορ παραγ σημερ εποχ θυματ πολεμ εισβολ ευρωπαικ εδαφ οδηγ εκτειναξ τιμ φυσικ αερ αντιλαμβαν πρασν μεταβασ μειωσ εκπομπ αποτρεψ καταστροφικ φαινομεν θερμοκυπ λογ ελληνικ ασφαλε αερ φυσαε σημερ ηλι παρε τεχνολογι προχωραε ενεργει παραγετα ηλιο ανθρωπ φυνοτερ,66400,1463,30,8,37,41,116,2022,6,2022Q2,1538,2.316,2.203,1619.5,0,1,-1.0,negative,λύπη
7107513034356116742,2022-06-10,Πρόσω ολοταχώς για την «πράσινη» ναυτιλία. Πρέπει να είμαστε πρωταγων...,"Πρόκειται, λοιπόν, για μια ιστορική πρόκληση για την ελληνική ναυτιλία που απαιτεί ένα κοινό μέτωπο. Οι δράσεις της ναυτιλίας για την κενοδομία να συνδυαστούν και με την έρευνα και με τη δουλειά που γίνεται στο επίπεδο του AMO, η παραγωγή ενέργειας και καυσίμων και οι κατασκευαστές μηχανών να συνεργαστούν με την αυστηλία για να εφαρμόσουν πρωτοπόριας μεθόδους και οι πολιτικοί θεσμοί σε εθνικό και σε ευρωπαϊκό επίπεδο να διευκολύνουν τον συντονισμό όλων αυτών των δυνάμων. Για να μιλήσω ξανά στη γλώσσα σας, μπορούμε να κινηθούμε πρόσω ολοταχώς για την πράσινη ναυτιλία και πρέπει, ως πρωταγωνιστές, ως παγκόσμοι πρωταγωνιστές ως Ελλάδα να είμαστε πρωταγωνιστές και όχι ουραγείς σε αυτή την προσπάθεια. Και με λόγια πρωτοβουλίες που υπερβαίνουν το μέγεθος της χώρας μας, αντανακτούν ωστόσο την υπεροή που έχουμε στα παγκόσμια ναυτιλιακά πράγματα και κυρίως ευθυγραμμίζονται με το μέλλον.",προκειτα ιστορικ προκλησ ελληνικ ναυτιλι απαιτε κοιν μετωπ δρασ ναυτιλ κενοδομι συνδυαστ ερευν δουλει επιπεδ amo παραγωγ ενεργε καυσιμ κατασκευαστ μηχαν συνεργαστ αυστηλι εφαρμοσ πρωτοπορ μεθοδ πολιτικ θεσμ εθνικ ευρωπαικ επιπεδ διευκολυν συντονισμ ολων δυναμ μιλησ γλωσσ μπορ κινηθ προσ ολοταχω πρασιν ναυτιλι πρωταγωνιστ παγκοσμ πρωταγωνιστ ελλαδ πρωταγωνιστ ουραγ προσπαθει λογι πρωτοβουλ υπερβαιν μεγεθ χωρ αντανακτ υπερο παγκοσμι ναυτιλιακ κυριω ευθυγραμμιζ μελλ,69700,1458,17,9,35,68,137,2022,6,2022Q2,1519,2.179,2.092,1025.0,1,0,1.0,positive,ουδέτερο
